# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	map\map1\map1_bank.png	255	0	0
10	textures\gimmick_right.png	0	0	255
20	textures\gimmick_left.png	0	0	255
30	textures\stage1.png	215	121	214
50	textures\Hazards_and_Interactables.png	203	102	185
60	textures\enemy_right.png	0	0	255
70	textures\enemy_left.png	0	0	255
80	textures\tunnel.png	215	121	214
100	map\map1\scene1\scene1.png	255	0	0

[MAP]
# TileSetID	MapY	MapX	TileSizeY	TileSizeX	MapMatrixPath

0	48	128	40	11	map\map1\map1_map.txt

[ZONES]
0	768	1024	576	64	434
0	576	1024	384	64	434
512	384	1024	192	976	322
512	192	1280	0	530	98
1280	192	1792	0	1248	82
1792	192	2048	0	1808	82
1792	384	2048	192	1970	50
1792	576	2048	384	1970	50
1280	768	2048	576	1936	626
1024	768	1280	576	1296	626

# id	left	top	right	bottom	texture_id
[SPRITES]

# GIMMICK
# idle right					
20101	2	2	18	21	10
20102	22	2	38	21	10
# idle left					
20151	399	2	415	21	20
20152	379	2	395	21	20
# walk right					
20201	2	24	18	43	10
20202	21	24	37	43	10
20203	39	24	55	43	10
20204	58	24	74	43	10
20205	79	24	95	43	10
20206	99	24	115	43	10
# walk left					
20251	399	24	415	43	20
20252	380	24	396	43	20
20253	362	24	378	43	20
20254	343	24	359	43	20
20255	322	24	338	43	20
20256	302	24	318	43	20
# jump right					
20301	2	46	18	70	10
# jump left					
20351	399	46	415	70	20
# stun right
20401	45	81	61	97	10
20402	65	76	87	97	10
20403	96	73	115	97	10
20404	123	72	140	97	10
20405	149	73	167	97	10
20406	171	77	190	97	10
20407	200	75	216	97	10
20408	221	74	237	97	10
20409	241	76	257	97	10
# stun left
20451	356	81	372	97	20
20452	330	76	352	97	20
20453	302	73	321	97	20
20454	277	72	294	97	20
20455	250	73	268	97	20
20456	227	77	246	97	20
20457	201	75	217	97	20
20458	180	74	196	97	20
20459	160	76	176	97	20

# die
20501	3	249	7	253	10
20502	10	245	22	257	10
20503	25	243	41	259	10
20504	44	243	60	259	10


# BRICK	
0	314	212	315	214	10

#BRICK SPEED UP
30501	1	171	17	187	30
30502	18	171	34	187	30
30503	35	171	51	187	30
30504	52	171	68	187	30

#BRICK SPEED BACK
30514	1	188	17	204	30
30513	18	188	34	204	30
30512	35	188	51	204	30
30511	52	188	68	204	30


#PLATFORMSMOVING BRICK
30601	193	120	225	136	100	

# SLOPE  BRICK
#BACK
30701	480	336	512	368	100
30702	800	320	864	368	100
#UP
30751	544	336	576	368	100

#TUBE
150001	1	154	17	170	30
150002	18	154	34	170	30
150003	35	154	51	170	30
150004	52	154	68	170	30
150005	69	154	85	170	30
150006	86	154	102	170	30

#MAGIC STAR
#SMALL
40100	8	141	16	149	10
40101	20	141	28	149	10

40102	228	134	254	161	10
40103	256	134	282	161	10

40104	171	134	197	161	10
40105	200	134	226	161	10

#BIG
40110	284	141	300	157	10
40111	302	141	318	157	10

#DIE
40120	326	145	336	155	10
40121	340	142	356	157	10
40122	359	142	375	157	10
40123	380	145	392	155	10
40124	397	146	405	154	10

#ENEMY BLACK
#RIGHT
#WALKING
50100	20	1	36	17	60
50101	2	1	18	17	60
50102	38	1	54	17	60

#FLY
50200	2	19	18	36	60
50201	20	19	36	36	60
50202	38	19	54	36	60
50203	56	19	72	36	60
50204	74	19	90	36	60

#WALKING FLY
50300	111	18	127	36	60
50301	129	18	145	36	60
50302	147	18	163	36	60

50303	177	18	193	36	60
50304	195	18	211	36	60
50305	213	18	229	36	60

50306	245	18	261	36	60
50307	263	18	279	36	60
50308	281	18	297	36	60

50309	310	18	326	36	60
50310	328	18	344	36	60
50311	346	18	362	36	60

50312	378	18	394	36	60
50313	396	18	412	36	60
50314	414	18	430	36	60

#LEFT
#WALKING
60100	660	1	676	17	70
60101	678	1	694	17	70
60102	642	1	658	17	70

#FLY
60200	678	19	694	36	70
60201	660	19	676	36	70
60202	642	19	658	36	70
60203	624	19	640	36	70
60204	606	19	622	36	70

#WALKING FLY
60300	569	18	585	36	70
60301	551	18	567	36	70
60302	533	18	549	36	70

60303	503	18	519	36	70
60304	485	18	501	36	70
60305	467	18	483	36	70

60306	435	18	451	36	70
60307	417	18	433	36	70
60308	399	18	415	36	70

60309	370	18	386	36	70
60310	352	18	368	36	70
60311	334	18	350	36	70

60312	302	18	318	36	70
60313	284	18	300	36	70
60314	266	18	282	36	70

#DIE
60501	457	21	473	37	60
60502	475	21	491	37	60
60503	493	21	509	37	60


#FALLENBOMB
#idle
70001	2	1	16	19	50
70002	20	1	32	19	50
70003	37	1	49	19	50
70004	54	1	66	19	50
#fall
70101	69	1	83	19	50
#explode
70201	78	142	94	158	20
70202	61	142	77	158	20
70203	42	142	58	158	20
70204	23	142	39	158	20
70205	8	142	24	158	20

#FIRE
80001	103	154	119	170	30
80002	120	154	136	170	30
80003	137	154	153	170	30
80004	154	154	170	170	30

#SMALL PINION
90001	69	205	85	221	30
90002	69	222	85	238	30
90003	69	239	85	255	30
90004	69	256	85	272	30

#PINION 
#topleft
100001	1	205	17	221	30
100002	35	205	51	221	30
100003	1	239	17	255	30
100004	35	239	51	255	30

#topright
100011	18	205	34	221	30
100012	52	205	68	221	30
100013	18	239	34	255	30
100014	52	239	68	255	30

#botright
100021	18	222	34	238	30
100022	52	222	68	238	30
100023	18	256	34	272	30
100024	52	256	68	272	30

#botleft
100031	1	222	17	238	30
100032	35	222	51	238	30
100033	1	256	17	272	30
100034	35	256	51	272	30

#CORD
#down
110001	1	341	17	357	30
110002	18	341	34	357	30
110003	35	341	51	357	30
110004	52	341	68	357	30
#up			
110011	1	358	17	374	30
110012	18	358	34	374	30
110013	35	358	51	374	30
110014	52	358	68	374	30
#down1				
110021	1	290	17	306	30
110022	18	290	34	306	30
110023	35	290	51	306	30
110024	52	290	68	306	30
#up1				
110031	1	307	17	323	30
110032	18	307	34	323	30
110033	35	307	51	323	30
110034	52	307	68	323	30

#WORM
# walkright
120001	2	314	25	328	60
120002	27	314	49	328	60
# walkleft
120011	671	314	694	328	70
120012	647	314	669	328	70

#SWING
#idle 
130001	11	154	47	222	50
#move
130011	159	199	195	267	50
130012	224	198	260	266	50
#open
130021	53	154	90	230	50
#stop 
130031	94	154	132	232	50

#TUNNEL
#head
140001	6	8	38	40	80
#body
140002	102	8	182	40	80
#body
140003	54	8	86	40	80


