# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	map\map1\scene1\scene1_bank.png	255	0	0
10	textures\gimmick_right.png	0	0	255
20	textures\gimmick_left.png	0	0	255
30	textures\stage1.png	215	121	214
40	map\map1\scene1\scene1.png	255	0	0
60	textures\enemy_right.png	0	0	255
70	textures\enemy_left.png	0	0	255

[MAP]
# TileSetID	MapY	MapX	TileSizeY	TileSizeX	MapMatrixPath

0	24	64	8	11	map\map1\scene1\scene1_map.txt

[ZONES]
0	192	1024	0	64	434
0	384	1024	192	64	434

# id	left	top	right	bottom	texture_id
[SPRITES]

# GIMMICK
# idle right					
20101	2	2	18	21	10
20102	22	2	38	21	10
# idle left					
20151	399	2	415	21	20
20152	379	2	395	21	20
# walk right					
20201	2	24	18	43	10
20202	21	24	37	43	10
20203	39	24	55	43	10
20204	58	24	74	43	10
20205	79	24	95	43	10
20206	99	24	115	43	10
# walk left					
20251	399	24	415	43	20
20252	380	24	396	43	20
20253	362	24	378	43	20
20254	343	24	359	43	20
20255	322	24	338	43	20
20256	302	24	318	43	20
# jump right					
20301	2	46	18	70	10
# jump left					
20351	399	46	415	70	20
# stun right
20401	45	81	61	97	10
20402	65	76	87	97	10
20403	96	73	115	97	10
20404	123	72	140	97	10
20405	149	73	167	97	10
20406	171	77	190	97	10
20407	200	75	216	97	10
20408	221	74	237	97	10
20409	241	76	257	97	10
# stun left
20451	356	81	372	97	20
20452	330	76	352	97	20
20453	302	73	321	97	20
20454	277	72	294	97	20
20455	250	73	268	97	20
20456	227	77	246	97	20
20457	201	75	217	97	20
20458	180	74	196	97	20
20459	160	76	176	97	20

# die
20501	3	249	7	253	10
20502	10	245	22	257	10
20503	25	243	41	259	10
20504	44	243	60	259	10


# BRICK	
30100	0	368	992	384	40
30101	0	0	176	16	40
30102	0	0	16	384	40
30103	16	352	208	368	40
30104	208	336	240	368	40
30105	240	352	288	368	40
30106	288	320	384	368	40
30107	384	352	400	368	40
30108	464	352	480	368	40
30109	512	336	544	368	40
30110	576	352	608	368	40
30111	640	336	672	368	40
30112	704	352	720	368	40
30113	784	352	800	368	40
30114	864	320	880	368	40
30115	880	288	912	368	40
30116	912	352	992	368	40

30117	944	304	1008	336	40
30118	1008	0	1024	384	40
30119	992	240	1008	256	40

30120	944	176	976	192	40
30121	896	144	912	160	40

30122	16	144	176	176	40

30123	48	112	112	176	40

#BRICK SPEED UP
30501	1	171	17	187	30
30502	18	171	34	187	30
30503	35	171	51	187	30
30504	52	171	68	187	30

#BRICK SPEED BACK
30514	1	188	17	204	30
30513	18	188	34	204	30
30512	35	188	51	204	30
30511	52	188	68	204	30


#PLATFORMSMOVING BRICK
30601	193	120	225	136	40	

# SLOPE  BRICK
#BACK
30701	480	336	512	368	40
30702	800	320	864	368	40
#UP
30751	544	336	576	368	40

#TUBE
150001	1	154	17	170	30
150002	18	154	34	170	30
150003	35	154	51	170	30
150004	52	154	68	170	30
