# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	map\map2\map2_bank.png	255	0	0
10	textures\gimmick_right.png	0	0	255
20	textures\gimmick_left.png	0	0	255
30	textures\stage1.png	215	121	214
40	map\map2\scene1.png	255	0	0
50	textures\Hazards_and_Interactables.png	203	102	185
60	textures\enemy_right.png	0	0	255
70	textures\enemy_left.png	0	0	255
80	textures\WaterWave.png	255	201	14
90	textures\NES - Gimmick Mr Gimmick - Bosses-right.png	0	0	255
100	textures\NES - Gimmick Mr Gimmick - Bosses-left.png	0	0	255
110	textures\EnemyBoom.png	57	189	255
[MAP]
# TileSetID	MapY	MapX	TileSizeY	TileSizeX	MapMatrixPath

0	49	130	20	11	map\map2\map2_map.txt

[ZONES]
16	192	1808	0	80	82
1808	192	2064	0	1824	66
16	384	1808	192	1152	242
16	576	272	384	112	482
272	576	1808	384	912	482
1808	384	2064	192	1728	274
16	768	400	576	320	610
1568	784	2080	592	0	0

# id	left	top	right	bottom	texture_id
[SPRITES]

# GIMMICK
# idle right					
20101	2	2	18	21	10
20102	22	2	38	21	10
# idle left					
20151	399	2	415	21	20
20152	379	2	395	21	20
# walk right					
20201	2	24	18	43	10
20202	21	24	37	43	10
20203	39	24	55	43	10
20204	58	24	74	43	10
20205	79	24	95	43	10
20206	99	24	115	43	10
# walk left					
20251	399	24	415	43	20
20252	380	24	396	43	20
20253	362	24	378	43	20
20254	343	24	359	43	20
20255	322	24	338	43	20
20256	302	24	318	43	20
# jump right					
20301	2	46	18	70	10
# jump left					
20351	399	46	415	70	20
# stun right
20401	45	81	61	97	10
20402	65	76	87	97	10
20403	96	73	115	97	10
20404	123	72	140	97	10
20405	149	73	167	97	10
20406	171	77	190	97	10
20407	200	75	216	97	10
20408	221	74	237	97	10
20409	241	76	257	97	10
# stun left
20451	356	81	372	97	20
20452	330	76	352	97	20
20453	302	73	321	97	20
20454	277	72	294	97	20
20455	250	73	268	97	20
20456	227	77	246	97	20
20457	201	75	217	97	20
20458	180	74	196	97	20
20459	160	76	176	97	20

# die
20501	3	249	7	253	10
20502	10	245	22	257	10
20503	25	243	41	259	10
20504	44	243	60	259	10

#MAGIC STAR
#SMALL
40100	8	141	16	149	10
40101	20	141	28	149	10

40102	228	134	254	161	10
40103	256	134	282	161	10

40104	171	134	197	161	10
40105	200	134	226	161	10

#BIG
40110	284	141	300	157	10
40111	302	141	318	157	10

#DIE
40120	326	145	336	155	10
40121	340	142	356	157	10
40122	359	142	375	157	10
40123	380	145	392	155	10
40124	397	146	405	154	10

#ENEMY BLACK
#RIGHT
#WALKING
50100	20	1	36	17	60
50101	2	1	18	17	60
50102	38	1	54	17	60

#FLY
50200	2	19	18	36	60
50201	20	19	36	36	60
50202	38	19	54	36	60
50203	56	19	72	36	60
50204	74	19	90	36	60

#WALKING FLY
50300	111	18	127	36	60
50301	129	18	145	36	60
50302	147	18	163	36	60

50303	177	18	193	36	60
50304	195	18	211	36	60
50305	213	18	229	36	60

50306	245	18	261	36	60
50307	263	18	279	36	60
50308	281	18	297	36	60

50309	310	18	326	36	60
50310	328	18	344	36	60
50311	346	18	362	36	60

50312	378	18	394	36	60
50313	396	18	412	36	60
50314	414	18	430	36	60

#LEFT
#WALKING
60100	660	1	676	17	70
60101	678	1	694	17	70
60102	642	1	658	17	70

#FLY
60200	678	19	694	36	70
60201	660	19	676	36	70
60202	642	19	658	36	70
60203	624	19	640	36	70
60204	606	19	622	36	70

#WALKING FLY
60300	569	18	585	36	70
60301	551	18	567	36	70
60302	533	18	549	36	70

60303	503	18	519	36	70
60304	485	18	501	36	70
60305	467	18	483	36	70

60306	435	18	451	36	70
60307	417	18	433	36	70
60308	399	18	415	36	70

60309	370	18	386	36	70
60310	352	18	368	36	70
60311	334	18	350	36	70

60312	302	18	318	36	70
60313	284	18	300	36	70
60314	266	18	282	36	70

#TUBE
150001	1	154	17	170	30
150002	18	154	34	170	30
150003	35	154	51	170	30
150004	52	154	68	170	30
150005	69	154	85	170	30
150006	86	154	102	170	30

#WATER
300101	3	3	67	19	80
300102	3	24	67	40	80
300103	3	46	67	62	80
300104	3	66	67	82	80

#BRICK
30101	120	24	136	40	10

#BOAT
310101	210	65	258	81	50

#BOAT BOMB
320001	102	22	118	38	50
#explore
320101	29	90	45	108	80

#BOAT WINDOW
330001	912	672	944	688	40

# CANNON
# idle
340001	124	115	148	145	50
# move
340101	124	115	148	145	50
340102	155	115	179	145	50
340103	186	115	210	145	50
340104	217	115	241	145	50
						
# CANNONBULLET
350001	85	22	101	38	50

# TURTLE
# walkright 
360001	69	312	89	328	60
360002	91	312	111	328	60
360003	113	312	133	328	60
360004	135	312	155	328	60

# walkleft
360101	607	312	627	328	70
360102	585	312	605	328	70
360103	563	312	583	328	70
360104	541	312	561	328	70
# dieright
360301	481	312	501	328	70
360302	459	312	479	328	70
360303	437	312	457	328	70
360304	415	312	435	328	70
# dieleft
360201	195	312	215	341	60
360202	217	312	237	341	60
360203	239	312	259	341	60
360204	261	312	281	341	60

#BIRD
#idle_right
370001	5	409	30	455	60
370002	32	409	60	455	60
370003	62	409	96	455	60
370004	129	409	155	455	60
#idle_left
370101	666	409	691	455	70
370102	636	409	664	455	70
370103	600	409	634	455	70
370104	541	409	567	455	70

#fly_right
370201	172	420	224	451	60
370202	221	420	273	451	60
370203	270	420	322	451	60

#fly_left
370301	472	420	524	451	70
370302	423	420	471	451	70
370303	374	420	421	451	70

#DIE
40120	40120	50	40121	50	40122	50	40123	50	40124	

# ORANGEBOSS
# WALK LEFT
