# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	map\map2\scene1\scene1_bank.png	255	0	0
10	textures\gimmick_right.png	0	0	255
20	textures\gimmick_left.png	0	0	255
30	textures\stage1.png	215	121	214
40	map\map2\scene1\scene1.png	255	0	0
50	textures\Hazards_and_Interactables.png	203	102	185
60	textures\enemy_right.png	0	0	255
70	textures\enemy_left.png	0	0	255
80	textures\WaterWave.png	255	201	14

[MAP]
# TileSetID	MapY	MapX	TileSizeY	TileSizeX	MapMatrixPath

0	49	130	20	11	map\map2\scene1\scene1_map.txt

[ZONES]
16	192	1808	0	64	274
1808	192	2064	0	1808	258
16	384	1808	192	1136	434
#1040	192	1552	0	1360	130
16	576	272	384	96	674
272	576	1808	384	848	674
1808	384	2064	192	1712	466
16	768	400	576	304	802

# id	left	top	right	bottom	texture_id
[SPRITES]

# GIMMICK
# idle right					
20101	2	2	18	21	10
20102	22	2	38	21	10
# idle left					
20151	399	2	415	21	20
20152	379	2	395	21	20
# walk right					
20201	2	24	18	43	10
20202	21	24	37	43	10
20203	39	24	55	43	10
20204	58	24	74	43	10
20205	79	24	95	43	10
20206	99	24	115	43	10
# walk left					
20251	399	24	415	43	20
20252	380	24	396	43	20
20253	362	24	378	43	20
20254	343	24	359	43	20
20255	322	24	338	43	20
20256	302	24	318	43	20
# jump right					
20301	2	46	18	70	10
# jump left					
20351	399	46	415	70	20
# pipe right
# pipe left
# stun right
# stun left

#WATER
300101	3	3	67	19	80
300102	3	24	67	40	80
300103	3	46	67	62	80
300104	3	66	67	82	80

#BRICK
30101	120	24	136	40	10

#BOAT
310101	210	65	258	81	50

#BOAT BOMB
320001	102	22	118	38	50
#explore
320101	29	90	45	108	80

#BOAT WINDOW
330001	912	672	944	688	40

# CANNON
# idle
340001	124	115	148	145	50
# move
340101	124	115	148	145	50
340102	155	115	179	145	50
340103	186	115	210	145	50
340104	217	115	241	145	50
						
# CANNONBULLET
350001	85	22	101	38	50

# TURTLE
# walkright 
360001	69	312	89	328	60
360002	91	312	111	328	60
360003	113	312	133	328	60
360004	135	312	155	328	60

# walkleft
360101	607	312	627	328	70
360102	585	312	605	328	70
360103	563	312	583	328	70
360104	541	312	561	328	70
# dieright
360301	481	312	501	328	70
360302	459	312	479	328	70
360303	437	312	457	328	70
360304	415	312	435	328	70
# dieleft
360201	195	312	215	341	60
360202	217	312	237	341	60
360203	239	312	259	341	60
360204	261	312	281	341	60

#BIRD
#idle_right
370001	5	409	30	455	60
370002	32	409	60	455	60
370003	62	409	96	455	60
370004	129	409	155	455	60
#idle_left
370101	666	409	691	455	70
370102	636	409	664	455	70
370103	600	409	634	455	70
370104	541	409	567	455	70

#fly_right
370201	172	420	224	451	60
370202	221	420	273	451	60
370203	270	420	322	451	60

#fly_left
370301	472	420	524	451	70
370302	423	420	471	451	70
370303	374	420	421	451	70

#MAGIC STAR
#SMALL
40100	8	141	16	149	10
40101	20	141	28	149	10

40102	228	134	254	161	10
40103	256	134	282	161	10

40104	171	134	197	161	10
40105	200	134	226	161	10

#BIG
40110	284	141	300	157	10
40111	302	141	318	157	10

#DIE
40120	326	145	336	155	10
40121	340	142	356	157	10
40122	359	142	375	157	10
40123	380	145	392	155	10
40124	397	146	405	154	10

#DIE
40120	40120	50	40121	50	40122	50	40123	50	40124	50
# id	ani1	ani2	ani3
#

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== GIMMICK=========
# idle right					
20101	20101	1000	20102	100
# idle left					
20151	20151	1000	20152	100
# walk right					
20201	20201	100	20202	100	20203	100	20204	100	20205	100	20206	100
# walk left					
20251	20251	100	20252	100	20253	100	20254	100	20255	100	20256	100
# jump right					
20301	20301	100
# jump left					
20351	20351	100

#BRICK
30101	30101	100

#WATER
300101	300101	100	300102	100	300103	100

#BOAT
310101	310101	100

#BOATBOMB
320001	320001	100
320101	320101	100

#BOATWINDOW
330001	330001	100

#CANNON
340001	340001	100
340101	340101	200	340102	200	340103	200	340104	200

#CANNONBULLET
350001	350001	100

#TURTLE 
360001	360001	100	360002	100	360003	100	360004	100
360101	360101	100	360102	100	360103	100	360104	100
360201	360201	100	360202	100	360203	100	360204	100
360301	360301	100	360302	100	360303	100	360304	100

#BIRD 
370001	370001	1000	370002	1000	370003	1000	370004	1000
370101	370101	1000	370102	1000	370103	1000	370104	1000
370201	370201	100	370202	100	370203	100
370301	370301	100	370302	100	370303	100

# MAGIC STAR
#SMALL
40100	40100	50	40101	50
40101	40104	100	40105	100	40102	100	40103	100

#BIG
40110	40110	50	40111	50

#DIE
40120	40120	50	40121	50	40122	50	40123	50	40124	50

# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# GIMMICK				
20101	20101	20151	20201	20251	20301	20351	20351

# BRICK
30101	30101

# WATER
300101	300101

#BOAT
310101	310101	

#BOATBOMB
320001	320001	320101

#BOATWINDOW
330001	330001

#CANNON
340001	340001	340101

#CANNONBULLET
350001	350001

#TURTLE
360001	360001	360101	360201	360301

#BIRD
370001	370001	370101	370201	370301

#MAGIC STAR
40100	40100	40101	40110	40120



[OBJECTS]
# type: 0 = Gimmick , 1 = Brick, 2 = Goomba, 4= Platforms Moving, 5 = Slope

# BRICK : type	x	y	ani_set_id	width	height
1	48	64	30101	96	48
1	176	64	30101	32	48
1	240	64	30101	32	48
1	304	64	30101	96	48
1	432	96	30101	32	80
1	496	64	30101	16	48
1	1760	48	30101	128	32

1	1584	208	30101	32	16
1	1632	160	30101	16	16
1	1648	112	30101	16	16
1	1664	64	30101	32	16

1	912	224	30101	656	16
1	1184	288	30101	224	48
1	1264	240	30101	64	16

1	896	256	30101	16	16
1	912	240	30101	16	16

1	688	288	30101	80	16
1	752	272	30101	144	16
1	672	240	30101	48	16
1	768	304	30101	64	32

1	16	272	30101	208	16
1	16	304	30101	64	32
1	80	288	30101	16	16
1	16	768	30101	16	464
1	32	768	30101	368	16
1	384	752	30101	16	160
1	320	592	30101	80	16
1	32	592	30101	240	32
1	256	560	30101	16	48
1	32	496	30101	80	16
1	64	464	30101	64	16
1	49	464	30101	15	144
1	128	432	30101	48	16
1	176	464	30101	176	16
1	256	448	30101	16	144
1	48	704	30101	16	16
1	96	688	30101	16	16
1	144	672	30101	16	16
1	192	656	30101	16	16
1	240	640	30101	16	16

1	864	464	30101	32	16
1	816	416	30101	32	16
1	864	352	30101	32	16

1	944	432	30101	304	16
1	1280	432	30101	304	16
1	1520	448	30101	96	16

1	1696	464	30101	48	16
1	1728	400	30101	32	16
1	1680	336	30101	32	16
1	1680	256	30101	368	16

#1	2058	768	30101	16	768


# WATER

30	16	16	300101
30	80	16	300101
30	144	16	300101
30	208	16	300101
30	272	16	300101
30	336	16	300101
30	400	16	300101
30	464	16	300101
30	528	16	300101
30	592	16	300101
30	656	16	300101
30	720	16	300101
30	784	16	300101
30	848	16	300101
30	912	16	300101
