# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	map\map1\scene4\scene4_bank.png	255	0	0
10	textures\gimmick_right.png	0	0	255
20	textures\gimmick_left.png	0	0	255
30	textures\stage1.png	215	121	214
40	map\map1\scene4\scene4.png	255	0	0
50	textures\Hazards_and_Interactables.png	203	102	185
60	textures\enemy_left.png	57	189	255
70	textures\enemy_right.png	57	189	255

[MAP]
# TileSetID	MapY	MapX	TileSizeY	TileSizeX	MapMatrixPath

0	24	16	5	11	map\map1\scene4\scene4_map.txt

[ZONES]
0	192	256	0	1970	50
0	384	256	192	1970	50


# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO 
# idle right
10001	246	154	260	181	0
# walk
10002	275	154	290	181	0		
10003	304	154	321	181	0

# GIMMICK
# idle right					
20101	2	2	18	21	10
20102	22	2	38	21	10
# idle left					
20151	399	2	415	21	20
20152	379	2	395	21	20
# walk right					
20201	2	24	18	43	10
20202	21	24	37	43	10
20203	39	24	55	43	10
20204	58	24	74	43	10
20205	79	24	95	43	10
20206	99	24	115	43	10
# walk left					
20251	399	24	415	43	20
20252	380	24	396	43	20
20253	362	24	378	43	20
20254	343	24	359	43	20
20255	322	24	338	43	20
20256	302	24	318	43	20
# jump right					
20301	2	46	18	70	10
# jump left					
20351	399	46	415	70	20
# pipe right
# pipe left
# stun right
# stun left

# BRICK	
# 
30101	1	86	17	102	30	
30102	18	86	34	102	30
30103	35	86	51	102	30
30104	1	103	17	119	30
30105	18	103	34	119	30
30106	35	103	51	119	30
30107	1	120	17	136	30
30108	18	120	34	136	30
30109	35	120	51	136	30
30110	1	137	17	153	30
30111	18	137	34	153	30
30112	35	137	51	153	30
30113	69	120	85	136	30	

#FIRE
80001	103	154	119	170	30
80002	120	154	136	170	30
80003	137	154	153	170	30
80004	154	154	170	170	30

#SMALL PINION
90001	69	205	85	221	30
90002	69	222	85	238	30
90003	69	239	85	255	30
90004	69	256	85	272	30

#PINION 
#topleft
100001	1	205	17	221	30
100002	35	205	51	221	30
100003	1	239	17	255	30
100004	35	239	51	255	30

#topright
100011	18	205	34	221	30
100012	52	205	68	221	30
100013	18	239	34	255	30
100014	52	239	68	255	30

#botright
100021	18	222	34	238	30
100022	52	222	68	238	30
100023	18	256	34	272	30
100024	52	256	68	272	30

#botleft
100031	1	222	17	238	30
100032	35	222	51	238	30
100033	1	256	17	272	30
100034	35	256	51	272	30

#CORD
#down
110001	1	341	17	357	30
110002	18	341	34	357	30
110003	35	341	51	357	30
110004	52	341	68	357	30
#up			
110011	1	358	17	374	30
110012	18	358	34	374	30
110013	35	358	51	374	30
110014	52	358	68	374	30
#down1				
110021	1	290	17	306	30
110022	18	290	34	306	30
110023	35	290	51	306	30
110024	52	290	68	306	30
#up1				
110031	1	307	17	323	30
110032	18	307	34	323	30
110033	35	307	51	323	30
110034	52	307	68	323	30

#WORM
# walkright
120001	2	314	25	328	70
120002	27	314	49	328	70
# walkleft
120011	671	314	694	328	60
120012	647	314	669	328	60

#TUBE
150001	1	154	17	170	30
150002	18	154	34	170	30
150003	35	154	51	170	30
150004	52	154	68	170	30
150005	69	154	85	170	30
150006	86	154	102	170	30

#MAGIC STAR
#SMALL
40100	8	141	16	149	10
40101	20	141	28	149	10

40102	228	134	254	161	10
40103	256	134	282	161	10

40104	171	134	197	161	10
40105	200	134	226	161	10

#BIG
40110	284	141	300	157	10
40111	302	141	318	157	10

#DIE
40120	326	145	336	155	10
40121	340	142	356	157	10
40122	359	142	375	157	10
40123	380	145	392	155	10
40124	397	146	405	154	10

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== GIMMICK=========
# idle right					
20101	20101	1000	20102	100
# idle left					
20151	20151	1000	20152	100
# walk right					
20201	20201	100	20202	100	20203	100	20204	100	20205	100	20206	100
# walk left					
20251	20251	100	20252	100	20253	100	20254	100	20255	100	20256	100
# jump right					
20301	20301	100
# jump left					
20351	20351	100

# ==== BRICK ========
30101	30101	100
30102	30102	100
30103	30103	100
30104	30104	100
30105	30105	100
30106	30106	100
30107	30107	100
30108	30108	100
30109	30109	100
30110	30110	100
30111	30111	100
30112	30112	100
30113	30113	100

# ===FIRE====
80001	80001	100	80002	100	80003	100	80004	100

# ===SMALL PINION ===
90001	90001	100	90002	100	90003	100	90004	100

# ===PINION ===
100001	100001	100	100002	100	100003	100	100004	100
100011	100011	100	100012	100	100013	100	100014	100
100021	100021	100	100022	100	100023	100	100024	100
100031	100031	100	100032	100	100033	100	100034	100



# ===CORD===
110001	110001	100	110002	100	110003	100	110004	100
110011	110011	100	110012	100	110013	100	110014	100
110021	110021	100	110022	100	110023	100	110024	100
110031	110031	100	110032	100	110033	100	110034	100

# ===WORM===
120001	120001	230	120002	230
120011	120011	230	120012	230

#===TUBE===
150001	150001	100
150002	150002	100
150003	150003	100
150004	150004	100
150005	150005	100
150006	150006	100

# MAGIC STAR
#SMALL
40100	40100	50	40101	50
40101	40104	100	40105	100	40102	100	40103	100

#BIG
40110	40110	50	40111	50

#DIE
40120	40120	50	40121	50	40122	50	40123	50	40124	50

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# GIMMICK				
20101	20101	20151	20201	20251	20301	20351	20351

# BRICK
30101	30101
30102	30102
30103	30103
30104	30104
30105	30105
30106	30106
30107	30107
30108	30108
30109	30109
30110	30110
30111	30111
30112	30112
30113	30113

#FIRE
80001	80001

#SMALL PINION
90001	90001

#PINION
100001	100001	100011	100021	100031

#CORD
110001	110001	110011	110021	110031

#WORM
120001	120001	120011

#TUBE 
150001	150001	150002	150003	150004	150005	150006

#MAGIC STAR
40100	40100	40101	40110	40120

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Gimmick , 1 = Brick, 2 = Goomba

#SMALL PINION
9	48	48	90001

#PINION
10	96	96	100001	1
10	96	80	100001	2

10	32	144	100001	0
10	48	144	100001	1
10	48	128	100001	2

10	16	304	100001	1
10	16	288	100001	2

10	32	336	100001	0
10	48	336	100001	1
10	48	320	100001	2
10	32	320	100001	3

#CORD
11	64	64	110001	1
11	64	96	110001	0
11	48	112	110001	0
11	64	112	110001	2
11	32	304	110001	1
11	16	320	110001	1
# GIMMICK
0	50	356	20101

# BRICK
# BRICK
1	64	32	30101	16	16
1	80	32	30102	16	16
1	96	32	30102	16	16
1	112	32	30103	16	16
1	144	32	30101	16	16
1	160	32	30102	16	16
1	176	32	30102	16	16
1	192	32	30102	16	16
1	208	32	30103	16	16
1	144	16	30104	16	16
1	160	16	30105	16	16
1	176	16	30105	16	16
1	192	16	30105	16	16
1	208	16	30105	16	16
1	64	80	30101	16	16
1	80	80	30103	16	16
1	240	16	30104	16	16
1	240	32	30104	16	16
1	240	48	30104	16	16
1	240	64	30105	16	16
1	224	64	30108	16	16
1	208	64	30108	16	16
1	192	64	30108	16	16
1	176	64	30108	16	16
1	224	80	30105	16	16
1	208	80	30105	16	16
1	192	80	30105	16	16
1	224	96	30105	16	16
1	240	96	30105	16	16
