# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	map\map1\scene5\scene5_bank.png	255	0	0
10	textures\gimmick_right.png	0	0	255
20	textures\gimmick_left.png	0	0	255
30	textures\stage1.png	215	121	214
40	map\map1\scene5\scene5.png	255	0	0
50	textures\enemy_right.png	0	0	255
60	textures\enemy_left.png	0	0	255
90	textures\NES - Gimmick Mr Gimmick - Bosses-right.png	0	0	255

[MAP]
# TileSetID	MapY	MapX	TileSizeY	TileSizeX	MapMatrixPath

0	12	64	6	11	map\map1\scene5\scene5_map.txt

[ZONES]
256	192	1024	0	912	50
0	192	256	0	272	50


# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO 
# idle right
10001	246	154	260	181	0
# walk
10002	275	154	290	181	0		
10003	304	154	321	181	0

# GIMMICK
# idle right					
20101	2	2	18	21	10
20102	22	2	38	21	10
# idle left					
20151	399	2	415	21	20
20152	379	2	395	21	20
# walk right					
20201	2	24	18	43	10
20202	21	24	37	43	10
20203	39	24	55	43	10
20204	58	24	74	43	10
20205	79	24	95	43	10
20206	99	24	115	43	10
# walk left					
20251	399	24	415	43	20
20252	380	24	396	43	20
20253	362	24	378	43	20
20254	343	24	359	43	20
20255	322	24	338	43	20
20256	302	24	318	43	20
# jump right					
20301	2	46	18	70	10
# jump left					
20351	399	46	415	70	20
# pipe right
# pipe left
# stun right
# stun left

# BRICK	
# 
30101	0	0	16	192	40
30102	16	0	240	16	40
30103	240	272	0	128	40
30104	48	128	112	192	40
30105	144	160	288	192	40
30106	320	160	352	192	40
30107	384	160	416	192	40
30108	448	144	464	160	40
30109	640	160	992	192	40
30110	1008	0	1024	192	40
30111	976	64	1008	128	40
30112	944	128	1008	144	40

#WINDOW
200001	172	324	220	340	30

200101	172	358	220	374	30

#TUBE
150001	1	154	17	170	30
150002	18	154	34	170	30
150003	35	154	51	170	30
150004	52	154	68	170	30
150005	69	154	85	170	30
150005	86	154	102	170	30
						
#ENEMY BLACK
#RIGHT
#WALKING
50100	20	1	36	17	50
50101	2	1	18	17	50
50102	38	1	54	17	50

#FLY
50200	2	19	18	36	50
50201	20	19	36	36	50
50202	38	19	54	36	50
50203	56	19	72	36	50
50204	74	19	90	36	50

#WALKING FLY
50300	111	18	127	36	50
50301	129	18	145	36	50
50302	147	18	163	36	50

50303	177	18	193	36	50
50304	195	18	211	36	50
50305	213	18	229	36	50

50306	245	18	261	36	50
50307	263	18	279	36	50
50308	281	18	297	36	50

50309	310	18	326	36	50
50310	328	18	344	36	50
50311	346	18	362	36	50

50312	378	18	394	36	50
50313	396	18	412	36	50
50314	414	18	430	36	50

#LEFT
#WALKING
60100	660	1	676	17	60
60101	678	1	694	17	60
60102	642	1	658	17	60

#FLY
60200	678	19	694	36	60
60201	660	19	676	36	60
60202	642	19	658	36	60
60203	624	19	640	36	60
60204	606	19	622	36	60

#WALKING FLY
60300	569	18	585	36	60
60301	551	18	567	36	60
60302	533	18	549	36	60

60303	503	18	519	36	60
60304	485	18	501	36	60
60305	467	18	483	36	60

60306	435	18	451	36	60
60307	417	18	433	36	60
60308	399	18	415	36	60

60309	370	18	386	36	60
60310	352	18	368	36	60
60311	334	18	350	36	60

60312	302	18	318	36	60
60313	284	18	300	36	60
60314	266	18	282	36	60

# IDLE
220001	5	31	37	62	90
# EAR
220002	3	3	28	17	90
220003	30	3	55	17	90
220004	57	3	82	17	90
220005	84	3	108	17	90
# SHOOTING
220006	5	99	37	146	90
220007	41	99	73	146	90
220008	77	99	111	146	90
# STUN
220009	78	23	110	62	90
# BLIND
220010	5	31	37	62	90
220011	41	31	73	62	90
# WALK 
220012	5	65	37	97	90
220013	42	66	74	97	90
220014	78	65	110	97	90
220015	114	66	146	97	90


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== GIMMICK=========
# idle right					
20101	20101	1000	20102	100
# idle left					
20151	20151	1000	20152	100
# walk right					
20201	20201	100	20202	100	20203	100	20204	100	20205	100	20206	100
# walk left					
20251	20251	100	20252	100	20253	100	20254	100	20255	100	20256	100
# jump right					
20301	20301	100
# jump left					
20351	20351	100

# ==== BRICK ========
30101	30101	100
30102	30102	100
30103	30103	100
30104	30104	100
30105	30105	100
30106	30106	100
30107	30107	100
30108	30108	100
30109	30109	100
30110	30110	100
30111	30111	100
30112	30112	100


# === WINDOW =======
200001	200001	100
200101	200101	100

#===TUBE===
150001	150001	100
150002	150002	100
150003	150003	100
150004	150004	100
150005	150005	100
150006	150006	100

#ENEMY BLACK
# WALKING RIGHT
50100	50100	100	50101	100	50102	100
# FLY
50200	50200	100	50201	100	50202	100	50203	100	50204	100
# WALKING FLY RIGHT
50300	50300	50	50301	50	50302	50	50303	50	50304	50	50305	50	50306	50	50307	50	50308	50	50309	50	50310	50	50311	50	50312	50	50313	50	50314	50

# WALKING LEFT
60100	60100	100	60101	100	60102	100
# FLY
60200	60200	100	60201	100	60202	100	60203	100	60204	100
# WALKING FLY LEFT
60300	60300	50	60301	50	60302	50	60303	50	60304	50	60305	50	60306	50	60307	50	60308	50	60309	50	60310	50	60311	50	60312	50	60313	50	60314	50

# ==== BLACK BOSS ====
# idle
220001	220001	100
# ear
220002	220002	150	220003	150	220004	150	220005	150
# shooting
220003	220006	100	220007	100	220008	100
# stun
220004	220009	100
# blink
220005	220010	150	220011	100	220010	100	220011	100
# walk
220006	220012	100	220013	100	220014	100	220015	100
#
#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# GIMMICK				
20101	20101	20151	20201	20251	20301	20351	20351

# BRICK
30101	30101
30102	30102
30103	30103
30104	30104
30105	30105
30106	30106
30107	30107
30108	30108
30109	30109
30110	30110
30111	30111
30112	30112

#WINDOW
200001	200001	200101

#TUBE 
150001	150001	150002	150003	150004

#ENEMY BLACK : WAL_R	WAL_L	FLY_R	FLY_L	WAL_FLY_R	WAL_FLY_L

50100	50100	60100	50200	60200	50300	60300

# BLACK BOSS
220001	220001	220002	220003	220004	220005	220006

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Gimmick , 1 = Brick, 2 = Goomba

# GIMMICK
0	400	96	20101

# BRICK
1	0	192	30101	16	192
1	16	192	30102	224	16
1	240	192	30103	32	128
1	48	64	30104	64	64
1	144	32	30105	144	32
1	320	32	30106	32	32
1	384	32	30107	32	32	
1	448	48	30108	16	16
1	496	48	30108	16	16
1	544	48	30108	16	16
1	592	48	30108	16	16
1	640	32	30109	352	32
1	1008	192	30110	16	192
1	976	128	30111	32	64
1	944	64	30112	64	16

#WINDOW 
20	864	112	200001
20	768	112	200001

#BOSS
22	64	96	220001

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#50	300	98	0	316	150	2
